Balanced Accuracy,F1 Score,Sensitivity,Specificity,Precision
0.877 (0.906–0.990),0.876 (0.906–0.990),0.797 (0.906–0.990),0.956 (0.906–0.990),0.884 (0.906–0.990)
0.869 (0.906–0.990),0.890 (0.906–0.990),0.835 (0.906–0.990),0.934 (0.906–0.990),0.870 (0.906–0.990)
0.848 (0.906–0.990),0.846 (0.906–0.990),0.780 (0.906–0.990),0.916 (0.906–0.990),0.789 (0.906–0.990)
0.854 (0.906–0.990),0.859 (0.906–0.990),0.770 (0.906–0.990),0.938 (0.906–0.990),0.832 (0.906–0.990)
0.860 (0.906–0.990),0.868 (0.906–0.990),0.770 (0.906–0.990),0.949 (0.906–0.990),0.862 (0.906–0.990)
0.838 (0.906–0.990),0.824 (0.906–0.990),0.714 (0.906–0.990),0.964 (0.906–0.990),0.897 (0.906–0.990)
